N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP0	S_AP0	s_AP1	S_AP1	s_AP2	S_AP2	s_AP3	S_AP3	s_AP4	S_AP4	s_AP5	S_AP5	s_AP6	S_AP6	s_AP7	S_AP7	s_AP8	S_AP8	s_AP9	S_AP9	s_AP10	S_AP10	s_AP11	S_AP11	s_AP12	S_AP12	s_AP13	S_AP13	s_AP14	S_AP14	s_AP15	S_AP15	s_AP16	S_AP16	s_AP17	S_AP17	s_AP18	S_AP18	s_AP19	S_AP19	s_AP20	S_AP20
12	0	2	4	1	1	200	1	9	567.9870024	-3	34	-4	34	-5	34	-6	34	-7	34	-8	34	-9	34	-10	34	-11	34	-12	34	-13	34	-14	34	-15	34	-16	34	-17	34	-18	34	-19	34	-20	34	-21	34	-22	34	-23	34	
12	0	2	4	1	1	200	1	19	608.3786865	1	37	0	37	-1	37	-2	37	-3	37	-4	37	-5	37	-6	37	-7	37	-8	37	-9	37	-10	37	-11	37	-12	37	-13	37	-14	37	-15	37	-16	37	-17	37	-18	37	-19	37	
12	0	2	4	1	1	200	1	29	618.4838127	3	38	2	38	1	38	0	38	-1	38	-2	38	-3	38	-4	38	-5	38	-6	38	-7	38	-8	38	-9	38	-10	38	-11	38	-12	38	-13	38	-14	38	-15	38	-16	38	-17	38	
12	0	2	4	1	1	200	3	9	799.3365869	-5	27	-6	27	-7	27	-8	27	-9	27	-10	27	-11	27	-12	27	-13	27	-14	27	-15	27	-16	27	-17	27	-18	27	-19	27	-20	27	-21	27	-22	27	-23	27	-24	27	-25	27	
12	0	2	4	1	1	200	3	19	911.4938227	-1	29	-2	29	-3	29	-4	29	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	-20	29	-21	29	
12	0	2	4	1	1	200	3	29	949.8395852	1	29	0	29	-1	29	-2	29	-3	29	-4	29	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	
12	0	2	4	1	1	200	5	9	927.6346018	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	-19	17	-20	17	-21	17	-22	17	-23	17	-24	17	-25	17	
12	0	2	4	1	1	200	5	19	1077.707348	-1	20	-2	20	-3	20	-4	20	-5	20	-6	20	-7	20	-8	20	-9	20	-10	20	-11	20	-12	20	-13	20	-14	20	-15	20	-16	20	-17	20	-18	20	-19	20	-20	20	-21	20	
12	0	2	4	1	1	200	5	29	1134.521374	0	21	-1	21	-2	21	-3	21	-4	21	-5	21	-6	21	-7	21	-8	21	-9	21	-10	21	-11	21	-12	21	-13	21	-14	21	-15	21	-16	21	-17	21	-18	21	-19	21	-20	21	
12	0	2	5	1	0	50	1	9	288.8545354	2	24	1	24	0	24	-1	24	-2	24	-3	24	-4	24	-5	24	-6	24	-7	24	-8	24	-9	24	-10	24	-11	24	-12	24	-13	24	-14	24	-15	24	-16	24	-17	24	-18	24	
12	0	2	5	1	0	50	1	19	304.7737972	4	26	3	26	2	26	1	26	0	26	-1	26	-2	26	-3	26	-4	26	-5	26	-6	26	-7	26	-8	26	-9	26	-10	26	-11	26	-12	26	-13	26	-14	26	-15	26	-16	26	
12	0	2	5	1	0	50	1	29	312.8219747	5	27	4	27	3	27	2	27	1	27	0	27	-1	27	-2	27	-3	27	-4	27	-5	27	-6	27	-7	27	-8	27	-9	27	-10	27	-11	27	-12	27	-13	27	-14	27	-15	27	
12	0	2	5	1	0	50	3	9	439.004714	1	14	0	14	-1	14	-2	14	-3	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	
12	0	2	5	1	0	50	3	19	485.567966	3	16	2	16	1	16	0	16	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	
12	0	2	5	1	0	50	3	29	509.2608062	4	16	3	16	2	16	0	16	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	
12	0	2	5	1	0	50	5	9	515.4362733	0	11	-1	11	-2	11	-3	11	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	
12	0	2	5	1	0	50	5	19	588.3284496	2	12	1	12	0	12	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	
12	0	2	5	1	0	50	5	29	626.1900678	3	13	2	13	1	13	0	13	-1	13	-2	13	-3	13	-4	3	-5	3	-6	2	-7	2	-8	1	-9	1	-10	1	-11	0	-12	0	-13	0	-14	0	-15	0	-16	0	-17	0	
12	0	2	5	1	0	100	1	9	408.2793429	1	35	0	35	-1	35	-2	35	-3	35	-4	35	-5	35	-6	35	-7	35	-8	35	-9	35	-10	35	-11	35	-12	35	-13	35	-14	35	-15	35	-16	35	-17	35	-18	35	-19	35	
12	0	2	5	1	0	100	1	19	429.5843918	3	38	2	38	1	38	0	38	-1	38	-2	38	-3	38	-4	38	-5	38	-6	38	-7	38	-8	38	-9	38	-10	38	-11	38	-12	38	-13	38	-14	38	-15	38	-16	38	-17	38	
12	0	2	5	1	0	100	1	29	439.4048694	4	39	3	39	2	39	1	39	0	39	-1	39	-2	39	-3	39	-4	39	-5	39	-6	39	-7	39	-8	39	-9	39	-10	39	-11	39	-12	39	-13	39	-14	39	-15	39	-16	39	
12	0	2	5	1	0	100	3	9	618.4242545	-1	20	-2	20	-3	20	-4	20	-5	20	-6	20	-7	20	-8	20	-9	20	-10	20	-11	20	-12	20	-13	20	-14	20	-15	20	-16	20	-17	20	-18	20	-19	20	-20	20	-21	20	
12	0	2	5	1	0	100	3	19	684.7615655	2	21	1	21	0	21	-1	21	-2	21	-3	21	-4	21	-5	21	-6	21	-7	21	-8	21	-9	21	-10	21	-11	21	-12	21	-13	21	-14	21	-15	21	-16	21	-17	21	-18	21	
12	0	2	5	1	0	100	3	29	712.9439039	3	22	2	22	1	22	0	22	-1	22	-2	22	-3	22	-4	22	-5	22	-6	22	-7	22	-8	22	-9	22	-10	22	-11	22	-12	22	-13	22	-14	22	-15	22	-16	22	-17	22	
12	0	2	5	1	0	100	5	9	720.7282608	-2	14	-3	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	
12	0	2	5	1	0	100	5	19	829.585448	1	16	0	16	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	
12	0	2	5	1	0	100	5	29	875.2843951	2	17	1	17	0	17	-1	17	-2	17	-3	17	-4	17	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	
12	0	2	5	1	0	200	1	9	597.8094647	-2	36	-3	36	-4	36	-5	36	-6	36	-7	36	-8	36	-9	36	-10	36	-11	36	-12	36	-13	36	-14	36	-15	36	-16	36	-17	36	-18	36	-19	36	-20	36	-21	36	-22	36	
12	0	2	5	1	0	200	1	19	632.9295219	2	39	1	39	0	39	-1	39	-2	39	-3	39	-4	39	-5	39	-6	39	-7	39	-8	39	-9	39	-10	39	-11	39	-12	39	-13	39	-14	39	-15	39	-16	39	-17	39	-18	39	
12	0	2	5	1	0	200	1	29	644.080943	4	40	3	40	1	40	0	40	-1	40	-2	40	-3	40	-4	40	-5	40	-6	40	-7	40	-8	40	-9	40	-10	40	-11	40	-12	40	-13	40	-14	40	-15	40	-16	40	-17	40	
12	0	2	5	1	0	200	3	9	858.8816904	-4	29	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	-20	29	-21	29	-22	29	-23	29	-24	29	
12	0	2	5	1	0	200	3	19	978.6926237	0	31	-1	31	-2	31	-3	31	-4	31	-5	31	-6	31	-7	31	-8	31	-9	31	-10	31	-11	31	-12	31	-13	31	-14	31	-15	31	-16	31	-17	31	-18	31	-19	31	-20	31	
12	0	2	5	1	0	200	3	29	1016.747868	2	31	1	31	0	31	-1	31	-2	31	-3	31	-4	31	-5	31	-6	31	-7	31	-8	31	-9	31	-10	31	-11	31	-12	31	-13	31	-14	31	-15	31	-16	31	-17	31	-18	31	
12	0	2	5	1	0	200	5	9	1010.217563	-5	18	-6	18	-7	18	-8	18	-9	18	-10	18	-11	18	-12	18	-13	18	-14	18	-15	18	-16	18	-17	18	-18	18	-19	18	-20	18	-21	18	-22	18	-23	18	-24	18	-25	18	
12	0	2	5	1	0	200	5	19	1178.080408	0	21	-1	21	-2	21	-3	21	-4	21	-5	21	-6	21	-7	21	-8	21	-9	21	-10	21	-11	21	-12	21	-13	21	-14	21	-15	21	-16	21	-17	21	-18	21	-19	21	-20	21	
12	0	2	5	1	0	200	5	29	1236.630511	1	22	0	22	-1	22	-2	22	-3	22	-4	22	-5	22	-6	22	-7	22	-8	22	-9	22	-10	22	-11	22	-12	22	-13	22	-14	22	-15	22	-16	22	-17	22	-18	22	-19	22	
