N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP	S_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	1	2	1	1	4	200	5	9	700.8866765	-5	23	5	1	700.51927	712.48018	711.58227	734.34028
12	1	2	1	1	4	200	5	19	813.023328	-1	22	5	2	813.22097	839.45275	829.76938	849.28415
12	1	2	1	1	4	200	5	29	867.4178998	0	21	5	2	867.49436	919.26168	891.09666	916.16647
12	1	2	2	1	3	50	1	9	235.6133385	2	27	8	4	235.55362	254.19658	240.97524	245.81188
12	1	2	2	1	3	50	1	19	266.8567754	4	27	8	5	266.76547	299.07041	273.09582	277.53134
12	1	2	2	1	3	50	1	29	292.2637337	5	27	8	5	292.52875	335.89593	299.12274	303.36698
12	1	2	2	1	3	50	3	9	312.3081363	2	17	8	2	312.26775	342.70395	331.28445	353.80218
12	1	2	2	1	3	50	3	19	357.5310076	3	18	8	3	357.79574	416.24316	381.77453	402.7493
12	1	2	2	1	3	50	3	29	390.2981449	4	18	8	4	390.43402	471.28341	416.37008	436.94769
12	1	2	2	1	3	50	5	9	346.9049897	1	14	8	2	347.04126	381.82545	376.10723	411.3907
12	1	2	2	1	3	50	5	19	400.469893	3	15	8	3	400.65293	471.44275	440.24601	475.10762
12	1	2	2	1	3	50	5	29	438.7134112	4	15	8	3	438.68107	538.43208	484.73804	518.60542
12	1	2	2	1	3	100	1	9	342.3817992	2	33	8	4	342.4338	357.00768	346.43502	350.31228
12	1	2	2	1	3	100	1	19	377.5372541	4	36	8	5	377.56576	402.84165	381.88951	385.30767
12	1	2	2	1	3	100	1	29	404.8192204	4	36	8	5	404.96465	438.29522	409.3064	412.67369
12	1	2	2	1	3	100	3	9	473.5157171	0	21	8	2	473.54862	498.41976	488.76192	508.22475
12	1	2	2	1	3	100	3	19	528.7713703	3	22	8	3	528.59726	577.18577	546.55539	564.02277
12	1	2	2	1	3	100	3	29	566.2294623	3	23	8	4	566.34133	633.80461	585.66519	602.31304
12	1	2	2	1	3	100	5	9	531.0039226	-1	18	8	2	530.94236	556.71908	552.28797	587.12609
12	1	2	2	1	3	100	5	19	604.6721712	2	19	8	3	604.67982	663.76507	636.12145	672.01385
12	1	2	2	1	3	100	5	29	649.9289304	3	19	8	3	649.99996	736.88686	685.69821	719.55699
12	1	2	2	1	3	200	1	9	508.1023403	-1	61	8	4	507.96837	515.55942	510.03971	512.07997
12	1	2	2	1	3	200	1	19	566.1337473	2	64	8	5	566.07495	580.26985	568.38214	570.41115
12	1	2	2	1	3	200	1	29	599.7942803	3	66	8	5	599.99087	618.11326	602.15149	604.23058
12	1	2	2	1	3	200	3	9	692.202614	-2	28	8	2	692.31114	709.41276	702.7107	716.33163
12	1	2	2	1	3	200	3	19	782.95698	1	32	8	3	782.92255	817.51623	795.23438	807.35904
