N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost	s	S
12	1	2	3	1	2	200	5	29	1285.559654	3	23	
12	1	2	4	1	1	50	1	9	319.7618106	6	29	
12	1	2	4	1	1	50	1	19	378.0456833	8	30	
12	1	2	4	1	1	50	1	29	427.0981981	9	31	
12	1	2	4	1	1	50	3	9	477.223212	4	18	
12	1	2	4	1	1	50	3	19	572.0933502	7	20	
12	1	2	4	1	1	50	3	29	640.1787185	8	21	
12	1	2	4	1	1	50	5	9	562.5828981	3	15	
12	1	2	4	1	1	50	5	19	690.7550058	6	17	
12	1	2	4	1	1	50	5	29	777.7474136	7	18	
12	1	2	4	1	1	100	1	9	427.3189831	5	37	
12	1	2	4	1	1	100	1	19	489.5057129	8	39	
12	1	2	4	1	1	100	1	29	540.1420444	9	41	
12	1	2	4	1	1	100	3	9	644.4054257	3	23	
12	1	2	4	1	1	100	3	19	750.1335558	6	25	
12	1	2	4	1	1	100	3	29	822.4065056	7	26	
12	1	2	4	1	1	100	5	9	760.4122287	1	19	
12	1	2	4	1	1	100	5	19	906.8756944	5	20	
12	1	2	4	1	1	100	5	29	1000.329612	6	21	
12	1	2	4	1	1	200	1	9	601.5501343	2	64	
12	1	2	4	1	1	200	1	19	678.0134605	5	68	
12	1	2	4	1	1	200	1	29	734.3069981	7	70	
12	1	2	4	1	1	200	3	9	882.1853212	0	31	
12	1	2	4	1	1	200	3	19	1009.998589	4	35	
12	1	2	4	1	1	200	3	29	1091.224959	6	36	
12	1	2	4	1	1	200	5	9	1036.103809	-2	25	
12	1	2	4	1	1	200	5	19	1226.343136	3	24	
12	1	2	4	1	1	200	5	29	1328.720485	5	26	
12	1	2	5	1	0	50	1	9	331.8739616	8	32	
12	1	2	5	1	0	50	1	19	401.3266091	10	33	
12	1	2	5	1	0	50	1	29	461.1550408	12	33	
12	1	2	5	1	0	50	3	9	493.3781123	6	21	
12	1	2	5	1	0	50	3	19	601.7753244	9	22	
12	1	2	5	1	0	50	3	29	681.9447752	10	23	
12	1	2	5	1	0	50	5	9	581.8064737	5	17	
12	1	2	5	1	0	50	5	19	725.2821552	8	19	
12	1	2	5	1	0	50	5	29	825.8711185	9	20	
12	1	2	5	1	0	100	1	9	438.8149165	7	39	
12	1	2	5	1	0	100	1	19	512.1085445	10	42	
12	1	2	5	1	0	100	1	29	573.3118148	11	43	
12	1	2	5	1	0	100	3	9	658.9945791	5	25	
12	1	2	5	1	0	100	3	19	777.8191544	8	27	
12	1	2	5	1	0	100	3	29	862.1457646	9	29	
12	1	2	5	1	0	100	5	9	777.0227256	3	21	
12	1	2	5	1	0	100	5	19	938.8579602	7	22	
12	1	2	5	1	0	100	5	29	1045.858658	8	23	
12	1	2	5	1	0	200	1	9	611.9802645	4	66	
12	1	2	5	1	0	200	1	19	699.1891699	7	70	
12	1	2	5	1	0	200	1	29	765.9211599	9	72	
12	1	2	5	1	0	200	3	9	895.0631885	2	33	
12	1	2	5	1	0	200	3	19	1035.383988	6	37	
12	1	2	5	1	0	200	3	29	1128.434083	8	38	
12	1	2	5	1	0	200	5	9	1066.211248	0	27	
12	1	2	5	1	0	200	5	19	1255.913153	5	27	
12	1	2	5	1	0	200	5	29	1371.300227	7	28	
12	2	2	0	1	5	50	1	9	264.2502325	4	30	
12	2	2	0	1	5	50	1	19	290.5551672	6	32	
12	2	2	0	1	5	50	1	29	308.3222385	7	32	
12	2	2	0	1	5	50	3	9	404.482884	2	16	
12	2	2	0	1	5	50	3	19	460.8639291	5	18	
12	2	2	0	1	5	50	3	29	494.4710364	6	18	
12	2	2	0	1	5	50	5	9	478.9419357	1	13	
12	2	2	0	1	5	50	5	19	563.3952954	4	14	
12	2	2	0	1	5	50	5	29	612.2663707	5	15	
12	2	2	0	1	5	100	1	9	367.4387186	4	32	
12	2	2	0	1	5	100	1	19	395.9375522	6	35	
12	2	2	0	1	5	100	1	29	414.7620562	6	36	
12	2	2	0	1	5	100	3	9	560.8754959	0	21	
12	2	2	0	1	5	100	3	19	626.4684798	4	22	
12	2	2	0	1	5	100	3	29	663.3235102	5	23	
12	2	2	0	1	5	100	5	9	660.639164	0	16	
12	2	2	0	1	5	100	5	19	763.7755921	3	18	
12	2	2	0	1	5	100	5	29	819.2776899	4	19	
12	2	2	0	1	5	200	1	9	514.630706	0	58	
12	2	2	0	1	5	200	1	19	556.553638	4	61	
12	2	2	0	1	5	200	1	29	580.7213122	5	63	
12	2	2	0	1	5	200	3	9	774.4308475	-1	27	
12	2	2	0	1	5	200	3	19	861.8663703	2	30	
12	2	2	0	1	5	200	3	29	906.6420014	4	32	
12	2	2	0	1	5	200	5	9	893.2512013	-4	23	
12	2	2	0	1	5	200	5	19	1061.663271	1	25	
12	2	2	0	1	5	200	5	29	1127.503084	3	24	
12	2	2	1	1	4	50	1	9	294.0249376	6	32	
12	2	2	1	1	4	50	1	19	351.5510011	8	34	
12	2	2	1	1	4	50	1	29	400.0845002	9	35	
12	2	2	1	1	4	50	3	9	438.2087328	4	19	
12	2	2	1	1	4	50	3	19	528.0793718	7	20	
12	2	2	1	1	4	50	3	29	593.5999563	8	21	
12	2	2	1	1	4	50	5	9	515.3650025	3	15	
12	2	2	1	1	4	50	5	19	635.6136761	6	17	
12	2	2	1	1	4	50	5	29	718.3401125	7	18	
12	2	2	1	1	4	100	1	9	396.9135048	6	34	
12	2	2	1	1	4	100	1	19	456.462917	8	37	
12	2	2	1	1	4	100	1	29	505.9396963	9	38	
12	2	2	1	1	4	100	3	9	593.1391763	2	23	
12	2	2	1	1	4	100	3	19	692.0718662	6	24	
12	2	2	1	1	4	100	3	29	761.0452712	7	25	
12	2	2	1	1	4	100	5	9	694.7936353	1	18	
12	2	2	1	1	4	100	5	19	832.8034308	5	20	
12	2	2	1	1	4	100	5	29	921.9535493	6	21	
12	2	2	1	1	4	200	1	9	542.9442344	2	60	
12	2	2	1	1	4	200	1	19	615.5644287	6	64	
12	2	2	1	1	4	200	1	29	670.1861153	7	65	
12	2	2	1	1	4	200	3	9	809.0532615	1	29	
12	2	2	1	1	4	200	3	19	925.210605	4	32	
12	2	2	1	1	4	200	3	29	1001.5718	6	34	
