N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost	s	S
12	3	2	5	1	0	200	1	9	758.3109872	17	69	
12	3	2	5	1	0	200	1	19	1120.396321	21	74	
12	3	2	5	1	0	200	1	29	1465.901675	23	76	
12	3	2	5	1	0	200	3	9	1028.652726	16	41	
12	3	2	5	1	0	200	3	19	1436.109895	20	45	
12	3	2	5	1	0	200	3	29	1806.016092	21	47	
12	3	2	5	1	0	200	5	9	1155.193536	13	37	
12	3	2	5	1	0	200	5	19	1619.832516	17	42	
12	3	2	5	1	0	200	5	29	2019.852147	19	44	
12	4	2	0	1	5	50	1	9	406.5772705	17	39	
12	4	2	0	1	5	50	1	19	633.6646907	20	42	
12	4	2	0	1	5	50	1	29	852.4179556	21	43	
12	4	2	0	1	5	50	3	9	536.8569126	14	29	
12	4	2	0	1	5	50	3	19	797.6539971	17	31	
12	4	2	0	1	5	50	3	29	1034.423203	19	33	
12	4	2	0	1	5	50	5	9	608.9509708	13	26	
12	4	2	0	1	5	50	5	19	900.6263433	16	28	
12	4	2	0	1	5	50	5	29	1155.141006	18	29	
12	4	2	0	1	5	100	1	9	493.3197358	14	58	
12	4	2	0	1	5	100	1	19	726.4491241	17	61	
12	4	2	0	1	5	100	1	29	947.4629458	19	63	
12	4	2	0	1	5	100	3	9	652.2888488	13	34	
12	4	2	0	1	5	100	3	19	922.5040255	16	37	
12	4	2	0	1	5	100	3	29	1163.316481	18	39	
12	4	2	0	1	5	100	5	9	748.0618364	11	30	
12	4	2	0	1	5	100	5	19	1053.53028	15	31	
12	4	2	0	1	5	100	5	29	1312.162793	17	32	
12	4	2	0	1	5	200	1	9	598.1807957	14	60	
12	4	2	0	1	5	200	1	19	834.9756917	17	64	
12	4	2	0	1	5	200	1	29	1057.837573	19	66	
12	4	2	0	1	5	200	3	9	851.8536777	8	36	
12	4	2	0	1	5	200	3	19	1125.282914	15	38	
12	4	2	0	1	5	200	3	29	1367.979096	17	40	
12	4	2	0	1	5	200	5	9	953.2320897	10	32	
12	4	2	0	1	5	200	5	19	1272.256466	14	35	
12	4	2	0	1	5	200	5	29	1539.407666	16	37	
12	4	2	1	1	4	50	1	9	471.5426949	19	42	
12	4	2	1	1	4	50	1	19	769.1161317	22	44	
12	4	2	1	1	4	50	1	29	1058.263059	23	46	
12	4	2	1	1	4	50	3	9	604.3312661	16	31	
12	4	2	1	1	4	50	3	19	936.9373635	20	34	
12	4	2	1	1	4	50	3	29	1244.63901	21	35	
12	4	2	1	1	4	50	5	9	678.3333841	15	28	
12	4	2	1	1	4	50	5	19	1042.985866	18	30	
12	4	2	1	1	4	50	5	29	1369.013123	20	31	
12	4	2	1	1	4	100	1	9	557.6099894	16	60	
12	4	2	1	1	4	100	1	19	861.2256168	20	64	
12	4	2	1	1	4	100	1	29	1152.574229	21	65	
12	4	2	1	1	4	100	3	9	718.8082327	15	36	
12	4	2	1	1	4	100	3	19	1060.738562	18	39	
12	4	2	1	1	4	100	3	29	1372.338486	20	41	
12	4	2	1	1	4	100	5	9	815.9986445	13	32	
12	4	2	1	1	4	100	5	19	1194.344134	17	34	
12	4	2	1	1	4	100	5	29	1524.981824	19	35	
12	4	2	1	1	4	200	1	9	662.3220683	16	62	
12	4	2	1	1	4	200	1	19	969.560816	19	66	
12	4	2	1	1	4	200	1	29	1262.690773	21	68	
12	4	2	1	1	4	200	3	9	918.2268146	10	38	
12	4	2	1	1	4	200	3	19	1263.203553	17	40	
12	4	2	1	1	4	200	3	29	1576.665471	19	42	
12	4	2	1	1	4	200	5	9	1020.637665	12	34	
12	4	2	1	1	4	200	5	19	1411.87318	16	37	
12	4	2	1	1	4	200	5	29	1750.451969	18	39	
12	4	2	2	1	3	50	1	9	536.3865118	21	44	
12	4	2	2	1	3	50	1	19	904.5909997	24	46	
12	4	2	2	1	3	50	1	29	1264.001409	25	48	
12	4	2	2	1	3	50	3	9	671.6336584	18	34	
12	4	2	2	1	3	50	3	19	1075.926832	22	36	
12	4	2	2	1	3	50	3	29	1454.65862	23	37	
12	4	2	2	1	3	50	5	9	747.5992259	17	30	
12	4	2	2	1	3	50	5	19	1185.059831	20	32	
12	4	2	2	1	3	50	5	29	1582.546747	22	34	
12	4	2	2	1	3	100	1	9	621.8594532	18	63	
12	4	2	2	1	3	100	1	19	995.9744946	22	66	
12	4	2	2	1	3	100	1	29	1357.699208	23	67	
12	4	2	2	1	3	100	3	9	785.2889219	17	38	
12	4	2	2	1	3	100	3	19	1198.839603	20	42	
12	4	2	2	1	3	100	3	29	1581.257512	22	43	
12	4	2	2	1	3	100	5	9	883.8499281	15	34	
12	4	2	2	1	3	100	5	19	1335.00834	19	36	
12	4	2	2	1	3	100	5	29	1737.506997	21	37	
12	4	2	2	1	3	200	1	9	726.4579237	18	64	
12	4	2	2	1	3	200	1	19	1104.066904	21	69	
12	4	2	2	1	3	200	1	29	1467.548287	23	70	
12	4	2	2	1	3	200	3	9	984.5668694	12	40	
12	4	2	2	1	3	200	3	19	1401.00378	19	43	
12	4	2	2	1	3	200	3	29	1785.234326	21	44	
12	4	2	2	1	3	200	5	9	1088.008655	14	36	
12	4	2	2	1	3	200	5	19	1551.324064	18	40	
12	4	2	2	1	3	200	5	29	1961.358778	20	42	
12	4	2	3	1	2	50	1	9	601.1516271	24	46	
12	4	2	3	1	2	50	1	19	1039.965681	26	49	
12	4	2	3	1	2	50	1	29	1469.541999	28	50	
12	4	2	3	1	2	50	3	9	738.8459022	20	36	
12	4	2	3	1	2	50	3	19	1214.681072	24	38	
12	4	2	3	1	2	50	3	29	1664.51539	25	39	
12	4	2	3	1	2	50	5	9	816.6732623	19	32	
12	4	2	3	1	2	50	5	19	1326.747784	22	35	
12	4	2	3	1	2	50	5	29	1795.657571	24	36	
12	4	2	3	1	2	100	1	9	686.0602302	20	65	
12	4	2	3	1	2	100	1	19	1130.721361	24	68	
12	4	2	3	1	2	100	1	29	1562.749755	25	70	
12	4	2	3	1	2	100	3	9	851.7353307	19	40	
12	4	2	3	1	2	100	3	19	1336.685399	22	44	
12	4	2	3	1	2	100	3	29	1790.122636	24	45	
12	4	2	3	1	2	100	5	9	951.6035621	17	36	
12	4	2	3	1	2	100	5	19	1475.517663	21	38	
12	4	2	3	1	2	100	5	29	1949.79035	23	39	
12	4	2	3	1	2	200	1	9	790.5690016	20	67	
12	4	2	3	1	2	200	1	19	1238.499805	23	71	
12	4	2	3	1	2	200	1	29	1672.232506	25	73	
12	4	2	3	1	2	200	3	9	1050.56698	14	54	
12	4	2	3	1	2	200	3	19	1538.754468	21	45	
12	4	2	3	1	2	200	3	29	1993.781516	23	46	
12	4	2	3	1	2	200	5	9	1155.336124	16	38	
12	4	2	3	1	2	200	5	19	1690.707408	20	42	
12	4	2	3	1	2	200	5	29	2172.100544	22	44	
12	4	2	4	1	1	50	1	9	665.8924558	26	48	
12	4	2	4	1	1	50	1	19	1175.18848	29	51	
12	4	2	4	1	1	50	1	29	1675.093368	30	52	
12	4	2	4	1	1	50	3	9	806.0065638	22	38	
12	4	2	4	1	1	50	3	19	1353.356834	26	40	
12	4	2	4	1	1	50	3	29	1874.127184	28	42	
12	4	2	4	1	1	50	5	9	885.6390113	21	34	
12	4	2	4	1	1	50	5	19	1468.073842	25	37	
12	4	2	4	1	1	50	5	29	2008.716516	26	38	
12	4	2	4	1	1	100	1	9	750.2533609	22	67	
12	4	2	4	1	1	100	1	19	1265.453247	26	70	
12	4	2	4	1	1	100	1	29	1767.702356	28	72	
12	4	2	4	1	1	100	3	9	918.1364415	21	42	
12	4	2	4	1	1	100	3	19	1474.409082	24	46	
12	4	2	4	1	1	100	3	29	1998.893918	26	48	
12	4	2	4	1	1	100	5	9	1019.296776	19	38	
12	4	2	4	1	1	100	5	19	1615.892189	23	41	
12	4	2	4	1	1	100	5	29	2161.588885	25	42	
12	4	2	4	1	1	200	1	9	854.6189004	22	69	
12	4	2	4	1	1	200	1	19	1372.93411	26	73	
12	4	2	4	1	1	200	1	29	1876.874203	27	75	
12	4	2	4	1	1	200	3	9	1115.86277	16	56	
12	4	2	4	1	1	200	3	19	1676.407792	23	47	
12	4	2	4	1	1	200	3	29	2202.209571	25	49	
12	4	2	4	1	1	200	5	9	1222.634716	18	40	
12	4	2	4	1	1	200	5	19	1830.025961	22	44	
12	4	2	4	1	1	200	5	29	2382.630699	24	46	
12	4	2	5	1	0	50	1	9	730.6299394	28	50	
12	4	2	5	1	0	50	1	19	1310.320293	31	53	
12	4	2	5	1	0	50	1	29	1880.61961	32	55	
12	4	2	5	1	0	50	3	9	873.1151271	24	40	
12	4	2	5	1	0	50	3	19	1491.954475	28	42	
12	4	2	5	1	0	50	3	29	2083.394218	30	44	
12	4	2	5	1	0	50	5	9	954.5137607	23	36	
12	4	2	5	1	0	50	5	19	1609.273752	27	39	
12	4	2	5	1	0	50	5	29	2221.529042	28	40	
12	4	2	5	1	0	100	1	9	814.4338607	25	69	
12	4	2	5	1	0	100	1	19	1400.132629	28	72	
12	4	2	5	1	0	100	1	29	1972.650024	30	74	
12	4	2	5	1	0	100	3	9	984.5017181	23	44	
12	4	2	5	1	0	100	3	19	1612.000388	27	48	
12	4	2	5	1	0	100	3	29	2207.348441	28	50	
12	4	2	5	1	0	100	5	9	1086.897523	21	41	
12	4	2	5	1	0	100	5	19	1756.023812	25	43	
12	4	2	5	1	0	100	5	29	2373.014042	27	44	
12	4	2	5	1	0	200	1	9	918.6656703	24	71	
12	4	2	5	1	0	200	1	19	1507.371197	28	75	
12	4	2	5	1	0	200	1	29	2081.528008	29	77	
12	4	2	5	1	0	200	3	9	1181.146054	18	58	
12	4	2	5	1	0	200	3	19	1813.985917	24	49	
12	4	2	5	1	0	200	3	29	2410.616626	27	51	
12	4	2	5	1	0	200	5	9	1289.904352	20	42	
12	4	2	5	1	0	200	5	19	1969.176664	24	46	
12	4	2	5	1	0	200	5	29	2592.997503	26	48	
